Sentiment,cleaned_text
neutral,according gran company plan move production russia although company growing .
positive,last quarter 2010 componenta net sale doubled eur131m eur76m period year earlier moved zero pretax profit pretax loss eur7m .
positive,third quarter 2010 net sale increased 5.2 % eur 205.5 mn operating profit 34.9 % eur 23.5 mn .
positive,operating profit rose eur 13.1 mn eur 8.7 mn corresponding period 2007 representing 7.7 % net sale .
positive,operating profit totalled eur 21.1 mn eur 18.6 mn 2007 representing 9.7 % net sale .
positive,finnish talentum report operating profit increased eur 20.5 mn 2005 eur 9.3 mn 2004 net sale totaled eur 103.3 mn eur 96.4 mn .
positive,clothing retail chain seppl sale increased 8 % eur 155.2 mn operating profit rose eur 31.1 mn eur 17.1 mn 2004 .
positive,consolidated net sale increased 16 % reach eur74 .8 operating profit amounted eur0 .9 compared loss eur0 .7 prior year period .
positive,foundry division report sale increased 9.7 % eur 63.1 mn eur 57.5 mn corresponding period 2006 sale machine shop division increased 16.4 % eur 41.2 mn eur 35.4 mn corresponding period 2006 .
positive,helsinki afx share closed higher led nokia announced plan team sanyo manufacture 3g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said .
positive,board director propose dividend eur0 .12 per share 2010 eur0 .08 per share paid 2009 .
positive,megafon subscriber base increased 16.1 % 2009 50.5 million user december 31 market share number customer amounted 24 % late 2009 23 % late 2008 according teliasonera estimate .
positive,net income life insurance doubled eur 6.8 mn eur 3.2 mn net income nonlife insurance rose eur 5.2 mn eur 1.5 mn corresponding period 2009 .
positive,net sale increased eur193 .3 eur179 .9 pretax profit rose 34.2 % eur43 .1 m. eur1 usd1 .4
positive,net sale surged 18.5 % eur167 .8 m. teleste said eur20 .4 12.2 % sale came acquisition made 2009 .
positive,nordea group operating profit increased 2010 18 percent yearonyear 3.64 billion euro total revenue 3 percent 9.33 billion euro .
positive,operating profit ninemonth period increased eur13 .6 net sale increased eur394 .7 compared corresponding period 2005 .
positive,operating profit threemonth period increased eur1 .2 revenue increased eur20 .2 compared corresponding period 2005 .
positive,company net profit rose 11.4 % year 82.2 million euro 2005 sale 686.5 million euro 13.8 % year company said earlier .
positive,lithuanian beer market made 14.41 million liter january rise 0.8 percent yearearlier figure lithuanian brewer association reporting citing result member .
positive,viking line cargo revenue increased 5.4 % eur 21.46 mn cargo volume increased 2.4 % 70116 cargo unit .
positive,fair value property portfolio doubled result kapiteeli acquisition totalled eur 2686.2 1259.7 million .
positive,10 february 2011 finnish medium company sanoma oyj hel saa1v said yesterday 2010 net profit almost tripled eur297 .3 eur107 .1 2009 announced proposal raised payout .
positive,helsinki eliiv today reported eps eur1 .13 2009 increase eps eur1 .12 2008 .
positive,commission income increased 22 % eur 4.4 mn lending volume rose 13.5 % .
positive,january traffic measured revenue passenger kilometre rpk went 3.2 % capacity measured available seat kilometre ask rose 12.2 % .
positive,januaryseptember 2010 fiskars net profit went 14 % yearonyear eur 65.4 million net sale eur 525.3 million eur 487.7 million .
positive,net income life insurance rose eur 16.5 mn eur 14.0 mn net income nonlife insurance eur 22.6 mn eur 15.2 mn 2009 .
positive,sale risen export market .
positive,sale increased due growing market rate increased operation .
positive,agreement strengthens longterm partnership nokia siemens network .
positive,company order book stood 1.5 bln euro $2.2 bln september 30 2007 24.2 pct year international order amounting 365 mln euro $534.3 mln .
positive,company said paper demand increased main market including publication paper increased average paper price 4 percent compared last year .
positive,world second largest stainless steel maker said net profit threemonth period dec. 31 surged euro603 million u $781 million euro3 .33 u $4.31 per share euro172 million euro0 .94 per share previous year .
positive,share standard chartered stan rose 1.2 % ftse 100 royal bank scotland rb share rose 2 % barclays share barc bcs 1.7 % .
positive,share nokia corp. rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased .
positive,financial report published friday seb said net profit soared sek6 .745 bn 2010 yearearlier sek1 .114 bn proposed 50 % dividend increase sek1 .50 per share .
neutral,request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics drawn future scenario finland national economy using model developed university denver .
neutral,stock exchange announcement 20 july 2006 1 1 basware share subscription warrant increase share capital total 119 850 share subscribed basware warrant program .
neutral,maximum 666104 new share subscribed exercising b option 2004 stock option plan .
neutral,tiimari operates 194 store six country including core finnish market generated turnover 76.5 mln eur 2005 .
positive,acquisition considerably increase kemira sale market position russian metal industry coating market .
positive,januaryseptember 2007 finnlines net sale rose eur 505.4 mn eur 473.5 mn corresponding period 2006 .
positive,adjusted change group structure division net sale increased 1.7 % .
positive,4 february 2011 finnish broadband data communication system provider teleste oyj hel tlt1v saw net profit jump eur2 .1 last quarter 2010 eur995 000 period 2009 .
positive,finnish aktia group operating profit rose eur 17.5 mn first quarter 2010 eur 8.2 mn first quarter 2009 .
positive,finnish bank land consolidated net operating profit increased eur 4.8 mn first quarter 2005 eur 6.4 mn first quarter 2006 .
positive,finnish financial group aktia report operating profit eur 44.4 mn januaryseptember 2009 eur 37.3 mn corresponding period 2008 .
positive,finnish high technology provider vaahto group report net sale eur 41.8 mn accounting period september 2007 february 2008 increase 11.2 % year earlier .
positive,net sale finnish food industry company lnnen tehtaat continuing operation increased 13 % 2008 eur 349.1 mn eur 309.6 mn 2007 .
positive,biohit already service many current genesis customer customer base expected expand result agreement .
positive,operating profit turnover threemonth period increased respectively eur0 .9 eur8 .3 compared corresponding period 2005 .
positive,circulation revenue increased 5 % finland 4 % sweden 2008 .
positive,clothing chain seppl net sale increased 7.0 % eur 30.8 mn .
positive,construction volume meanwhile grow rate 1015 percent annually .
positive,however biohit estimate total net sale continue grow 2009 favourable trend net sale lead profit 2009 .
positive,2009 fiskars cash flow operating activity amounted eur121m eur97m previous year .
positive,lithuania operating profit rose eur 190000 eur 70000 corresponding period 2005 .
positive,fourth quarter 2008 net sale increased 2 % eur 1050.7 mn eur 1027.0 mn fourth quarter 2007 .
positive,international sale rose 59.8 % eur 1244.4 mn .
positive,net sale grew period x20ac 402 million $585us million x20ac 401 million 2006 .
positive,net sale increased eur655m april june 2010 eur438m year earlier .
positive,net sale rose 25.5 % yearonyear eur59 .6 number charger delivered went 41 % 65.9 million piece .
positive,net sale totaled eur 93.6 mn eur 93.2 mn corresponding period 2005 .
positive,operating profit increased 145.1 % eur 8.3 mn eur 3.4 mn .
positive,operating profit margin increased 11.2 % 11.7 % .
positive,operating profit rose eur 3.11 mn eur 1.22 mn corresponding period 2009 .
positive,operating profit rose eur 5mn eur 2.8 mn fourth quarter 2008 .
positive,operating profit eur 24.5 mn eur 23.0 mn .
positive,ramirent net sale second quarterended june 30 euro 128.7 million u.s. $163 million 3.3percent increase compared euro 124.6 million thesecond quarter last year .
positive,revenue grew 2 percent x20ac 580 million $743 million x20ac 569 million .
positive,ruukki delivery volume selling price showed favourable development company comparable net sale grew 50 % yearonyear eur647m ceo sakari tamminen said .
positive,company consolidated operating profit amounted eur 15.86 mn eur 4.14 mn yearonyear .
positive,department store division reported increase sale 4 per cent .
positive,fair value company investment property grew eur 2.803 billion end march 2009 eur 2.691 million year ago .
positive,last quarter best quarter 2009 net sale operating margin rose 12.2 % .
positive,major brewery increased domestic beer sale 4.5 per cent last year 256.88 million litre 245.92 million litre 2004 .
positive,operating profit rose 26.9 % eur 105.8 83.4 million .
positive,21 october 2010 finnish fishing tackle company rapala vmc corp hel rap1v said today net profit rose eur18 .9 first nine month 2010 eur15 .1 period year earlier .
positive,according finnish metso mineral value company order gone eur 1.9 bn 12 month .
positive,finnish bank land report operating profit rose eur 21.3 mn second quarter 2009 eur 6.1 mn corresponding period 2008 .
positive,finnish financial group aktia operating profit 2009 increased eur 47.0 mn eur 6.6 mn 2008 .
positive,finnish forest machinery manufacturer ponsse net sale grew eur 51.3 mn first quarter 2010 eur 37.5 mn corresponding period 2009 .
positive,finnish kci konecranes raised net sale growth estimate 2006 25 % 35 % .
positive,according hkscan finland plan increase jrvisuomen portti net sale eur 80mn eur 100mn .
positive,advertising circulation revenue grew 3.4 % 0.4 % respectively .
positive,end march 2007 group order book eur 39.6 mn 42 % corresponding period 2006 .
positive,time profit company increased 10 % h1 reached l 79000 .
positive,operating profit net sale 12month period increased respectively eur10 .5 eur28 .8 compared financial year 2004 .
positive,operating profit net sale 12month period increased respectively eur20 .8 eur177 .7 compared financial year 2004 .
positive,operating profit net sale 12month period increased respectively eur21 .5 eur196 .1 compared 2005 .
positive,operating profit net sale 12month period increased respectively eur4 .7 eur26 .7 compared 2004 .
positive,operating profit net sale ninemonth period increased respectively 26.6 % 3.4 % compared corresponding period 2006 .
positive,operating profit net sale sixmonth period increased respectively eur13 .8 eur143 .6 compared corresponding period 2007 .
positive,operating profit net sale sixmonth period increased respectively eur0 .4 eur3 .2 compared corresponding period 2005 .
positive,operating profit net sale sixmonth period increased respectively eur18 .1 eur127 .6 compared corresponding period 2006 .
positive,operating profit net sale sixmonth period increased respectively eur7 .5 eur655 .5 compared corresponding period 2005 .
positive,operating profit net sale threemonth period increased respectively eur15 .1 eur131 .5 compared corresponding period 2005 .
positive,operating profit net sale threemonth period increased respectively eur16 .0 eur139m compared corresponding quarter 2006 .
