Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-06-03,165.28,166.78,163.53,166.54,2776058.0,1,2.071391454716576e-06,0.8749145765625684,0.1250833580431276
2024-06-04,165.81,166.4,163.88,164.6,2594203.0,1,0.0002593114206016,0.5311002591012337,0.4686404179701638
2024-06-05,167.38,167.79,165.78,166.41,3049377.0,1,0.1794895778847952,0.7021697527067203,0.1183406619781331
2024-06-06,168.2,168.44,166.8,167.38,2207263.0,1,0.0238815549605046,0.8627533252433368,0.1133651358881511
2024-06-07,170.01,171.305,168.06,168.18,3475495.0,1,4.5297986162040615e-05,0.9878956079483032,0.0120590719161554
2024-06-10,170.38,170.76,168.88,169.55,3444684.0,0,0.0031577609466481,0.7006083713116823,0.2962338719546096
2024-06-11,169.32,170.0,166.81,169.98,2951251.0,0,0.0950192129546892,0.6820396892622941,0.2229411041091781
2024-06-12,169.0,172.47,168.101,171.35,3522698.0,1,0.1293738887915367,0.67258822619915,0.19803787600149
2024-06-13,169.12,169.59,168.335,169.01,3525717.0,1,0.1255322560856764,0.6466017972221227,0.227865953179446
2024-06-14,169.21,169.47,167.23,168.29,2777717.0,1,0.0001289868695898,0.9928084288324628,0.0070625946740343
2024-06-17,169.5,169.72,167.5,168.76,3240655.0,1,0.0003704219579272,0.8403622284873449,0.1592673431411192
2024-06-18,170.55,170.75,168.38,170.0,3386442.0,1,0.0024262738188607,0.7467446412119427,0.2508290824128917
2024-06-20,173.92,174.28,171.22,174.08,4723078.0,0,0.2498897284440602,0.7500154296867549,9.481866709392474e-05
2024-06-21,172.46,174.96,171.4,173.97,10182025.0,1,0.1063688639926642,0.6971956654677747,0.1964354716276526
2024-06-24,175.01,178.4599,174.15,175.0,4864735.0,0,0.1374576868833588,0.716277918653109,0.146264395906677
2024-06-25,172.6,175.7526,171.42,175.14,4119267.0,0,0.000129954098611,0.6998380646261921,0.3000319852144457
2024-06-26,171.87,172.68,170.41,171.28,2779016.0,0,0.0625231988275282,0.6745557276259813,0.2629210773337844
2024-06-27,170.85,172.5,170.48,171.12,2894001.0,1,0.0090922618290082,0.5791742987894395,0.4117334306896997
2024-06-28,172.95,173.46,170.53,170.85,4193459.0,1,0.0001627499772496,0.9977658987045288,0.0020713159841154
2024-07-01,175.1,176.46,173.38,173.45,3320961.0,1,0.0479935373296912,0.7356357946389056,0.2163706503325296
2024-07-02,177.3,177.485,174.32,174.84,2883275.0,0,0.3117375595761294,0.4395342924686289,0.2487281341071821
2024-07-03,175.73,177.98,175.17,177.88,1649049.0,1,0.075675093282464,0.692789816065491,0.2315351064437761
2024-07-05,176.02,176.09,173.95,175.74,2085970.0,1,0.2540331950630161,0.4992541007568434,0.2467126989940879
2024-07-08,177.64,178.59,176.01,176.41,2503038.0,0,0.0417232192942121,0.7690816833045834,0.1891950859629381
2024-07-09,176.48,177.7,175.58,177.6,2513305.0,1,0.0016692659330601,0.7388679351006147,0.2594627952685187
2024-07-10,177.84,178.22,174.45,176.6,3462182.0,1,0.167020193953552,0.6650230633313186,0.1679567514256632
2024-07-11,178.31,179.44,176.62,177.65,2807145.0,1,0.0999061662801352,0.5749067192218945,0.3251871146849225
2024-07-12,182.83,184.16,178.5,178.56,4785565.0,1,0.0002342649817355,0.7632776847109198,0.2364880461623215
2024-07-15,182.88,184.9,182.6,183.38,2925794.0,1,0.0047292185766175,0.762235854472749,0.2330349278356606
2024-07-16,185.81,186.6,184.52,184.67,3374526.0,1,0.0010708110547708,0.8248085737228392,0.1741206283339124
2024-07-17,187.45,187.94,185.07,185.44,4225302.0,0,0.0947126412103105,0.5891747241542665,0.3161126539321736
2024-07-18,185.22,189.47,185.1,186.64,3487808.0,0,0.0001397594972871,0.7874568828122896,0.2124033424914664
2024-07-19,183.25,187.0,181.95,186.33,3816039.0,1,0.0023209669738401,0.7602609452364086,0.2374180934768166
2024-07-22,184.15,184.97,182.86,183.4,2488525.0,0,0.0853983754016828,0.5640058764808324,0.3505957550022548
2024-07-23,184.1,185.38,183.01,184.36,2180225.0,0,0.0020356619056472,0.8869274361568387,0.1110369063783688
2024-07-24,184.02,185.0714,183.145,184.14,6962071.0,1,0.1720085778515014,0.413829161123742,0.4141622486351828
2024-07-25,191.98,196.26,185.3,186.8,9532802.0,0,0.1674894515769658,0.4068838723597419,0.4256266752959464
2024-07-26,191.75,193.57,189.622,190.51,4294875.0,0,0.1502745292840485,0.6766791835919775,0.1730462732884537
2024-07-29,191.5,193.29,189.18,193.18,3336806.0,0,0.1975092956919323,0.6667337551793109,0.1357569588824183
2024-07-30,191.04,192.77,189.09,191.48,3064978.0,1,0.0629110095858471,0.6500160739731045,0.287072919366772
2024-07-31,192.14,194.5499,189.99,191.0,5558405.0,0,0.0001609274947466,0.7583028619821229,0.241536211508009
2024-08-01,189.66,193.635,188.29,192.81,4085354.0,0,0.1182227094903282,0.7422824621637119,0.1394948289060266
2024-08-02,189.12,189.26,185.7,188.78,4548824.0,0,0.0004439769972311,0.8556471386729072,0.1439088732149229
2024-08-05,183.31,185.255,181.81,184.55,4975002.0,1,0.0832990744746251,0.7853688559371979,0.1313320481864934
2024-08-06,186.8,188.9,183.64,184.7,3632517.0,0,0.017268132730657,0.9767771393060684,0.0059547354054302
