Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-06-03,62.93,63.09,62.445,62.71,9369046.0,1,0.0344084521100569,0.7198431931901723,0.2457483309408416
2024-06-04,63.94,63.97,62.94,63.2,11895622.0,0,0.000423517575525,0.8844657184241654,0.1151107508046518
2024-06-05,63.92,64.07,63.35,63.99,9632525.0,1,0.1296364928945147,0.8565067206824704,0.0138567713293013
2024-06-06,64.15,64.36,63.84,63.92,8658456.0,0,0.0002704585149402,0.8387532678659357,0.1609762906732531
2024-06-07,63.91,64.225,63.81,64.09,9523089.0,0,0.1264603966161811,0.7325697588938056,0.1409698636720577
2024-06-10,63.59,63.99,63.365,63.94,15687128.0,0,0.0094124637020058,0.787749194609205,0.202838337754656
2024-06-11,63.55,63.645,63.07,63.59,8395960.0,0,0.1107567472434766,0.4541907002020025,0.4350525247698896
2024-06-12,62.88,63.69,62.685,63.69,9569550.0,1,0.0012152406268484,0.7473215289346921,0.2514632216661994
2024-06-13,62.99,63.035,62.45,62.86,9668888.0,0,0.0007634457628216,0.8585869975685052,0.1406495465258698
2024-06-14,62.55,62.69,62.09,62.38,8179239.0,1,0.0269816255206546,0.824200577441869,0.1488177940009498
2024-06-17,62.62,62.895,62.18,62.37,10535373.0,1,0.0016221265935238,0.6911805312134599,0.3071973142771639
2024-06-18,62.63,62.82,62.44,62.53,10651661.0,0,0.0001006297779879,0.68968583237738,0.3102135434504715
2024-06-20,62.18,62.74,61.945,62.4,13306273.0,1,0.0008562306745622,0.4886257564265163,0.5105180144068071
2024-06-21,62.77,63.1,62.18,62.18,28282194.0,1,0.0023645110115503,0.9191792396296348,0.0784562250428344
2024-06-24,63.97,64.055,62.91,62.99,13212454.0,0,0.0004525660231973,0.9473978132009506,0.0521496088377943
2024-06-25,63.84,64.07,63.51,63.935,10546793.0,1,0.1002889414941136,0.5015295970198557,0.3981814704706526
2024-06-26,64.05,64.11,63.23,63.4,9402502.0,0,7.6269844839771395e-06,0.8367459612588088,0.1632463766673027
2024-06-27,63.91,64.27,63.62,64.05,8494123.0,0,0.0003410724667425,0.9006701707839966,0.0989887610066185
2024-06-28,63.65,64.06,63.52,63.9,17358827.0,0,0.0002971543246985,0.6325862581365982,0.3671165824043783
2024-07-01,63.28,64.3,63.12,64.03,10033361.0,0,0.0469044458417556,0.6540888037641593,0.2990067399834515
2024-07-02,63.15,63.38,62.855,63.26,8878156.0,1,0.000334743738882,0.6750869170978717,0.3245783465549152
2024-07-03,63.33,63.665,62.93,63.19,9154198.0,1,0.0028555512909285,0.7530867366556777,0.2440577090085298
2024-07-05,63.76,63.79,62.995,63.33,11735460.0,0,3.162266494882715e-06,0.9999253153800964,7.15178521204507e-05
2024-07-08,62.96,63.59,62.84,63.59,11235135.0,0,0.1033743673399764,0.728732889871111,0.1678927167492171
2024-07-09,62.69,63.23,62.59,63.06,11660197.0,1,0.0002124103573123,0.8986413717269897,0.1011461884634627
2024-07-10,62.83,62.86,62.285,62.72,11930407.0,1,0.0966001979566776,0.782807451300323,0.1205923457629523
