Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-06-03,119.28,119.33,117.34,117.53,7256308.0,1,0.1027702304137089,0.5712935311294132,0.3259362321128718
2024-06-04,120.07,120.37,118.72,119.02,7367975.0,1,0.017145269137444,0.7070411722525023,0.2758135567921272
2024-06-05,122.63,122.79,120.5077,121.65,5973706.0,1,0.0002189995975821,0.6394493568956701,0.3603316175757527
2024-06-06,123.5,124.27,122.25,122.88,7347249.0,1,0.207553923494387,0.7650756845872213,0.0273704060533645
2024-06-07,125.92,126.22,123.27,124.21,11544957.0,0,0.0948525051545913,0.5967599974227666,0.3083875125903144
2024-06-10,124.5,126.95,124.05,125.73,10190447.0,0,0.1509220113141305,0.663380949560437,0.1856970530408733
2024-06-11,123.88,124.83,122.29,124.05,18373935.0,1,0.2828242202619404,0.4915135955101786,0.2256621780262498
2024-06-12,140.38,140.955,133.96,134.69,40871317.0,0,0.132188452820693,0.5344681858096572,0.3333433553325958
2024-06-13,139.85,142.4,138.77,140.43,13733247.0,0,0.1104707100151594,0.6707201923901618,0.2188091067675425
2024-06-14,138.13,139.97,137.38,139.26,11330789.0,1,0.1417243292906107,0.6546114937393506,0.20366417155388
2024-06-17,141.31,141.44,138.25,138.8,11239152.0,1,0.1130731990771961,0.471417120340267,0.4155096667610153
2024-06-18,144.64,145.06,141.22,141.22,11629395.0,0,0.1009132295650449,0.7470134462547549,0.1520733309555402
2024-06-20,142.91,145.32,141.95,145.32,8940005.0,0,0.0719885483685621,0.7317912234386572,0.1962202204648227
2024-06-21,141.5,143.72,140.44,143.72,14930875.0,0,0.0383399987847483,0.8004854341736063,0.1611745750859325
2024-06-24,139.89,141.53,139.12,140.0,7793293.0,0,0.0661293897988334,0.6660433509578483,0.2678272485656882
2024-06-25,139.17,139.55,137.56,139.0,8469641.0,0,0.2206219524106106,0.5988093827177119,0.1805686535986342
2024-06-26,138.23,140.745,138.08,139.49,8036309.0,1,0.0004590993829852,0.560504558069252,0.4390363326914808
2024-06-27,140.18,141.42,138.81,139.25,7518199.0,1,0.05803255426905,0.6893021385320113,0.2526653015277675
2024-06-28,141.2,142.82,139.27,139.435,25814821.0,1,0.000259833404641,0.5597784593701363,0.4399617113094791
2024-07-01,143.09,144.055,141.07,141.69,6552353.0,1,0.0002409656713542,0.9957815706729888,0.0039774655942892
2024-07-02,143.28,144.22,142.55,142.63,5920529.0,1,0.1986078058287628,0.6168326878796506,0.1845594966254338
2024-07-03,144.38,144.65,143.5,143.75,3560778.0,1,0.0001649910596602,0.8334826804542292,0.1663523350656154
2024-07-05,144.83,145.785,144.02,144.95,5365527.0,1,0.0,1.0,0.0
2024-07-08,145.03,145.23,143.43,144.76,8622633.0,0,0.0021723734947347,0.6158095856565826,0.3820180222004031
2024-07-09,140.68,145.6999,138.0,145.13,14340040.0,1,0.2528449714801603,0.6000039945475482,0.1471510316881064
2024-07-10,142.07,142.38,139.735,141.12,6350258.0,1,0.0366981808957454,0.7519581406019265,0.2113436716045303
2024-07-11,142.76,143.48,141.6784,142.36,5246402.0,1,0.07132333862031,0.8896565586328506,0.0390200900728813
2024-07-12,144.77,145.13,141.26,142.71,7361770.0,0,0.1245005900498625,0.626655807820498,0.2488435787076922
2024-07-15,143.07,146.59,141.92,145.73,8687837.0,0,0.1405434758729313,0.8521832027860606,0.0072733230714826
2024-07-16,142.61,143.5,142.05,143.07,7181470.0,0,0.0776803458461268,0.7494801901030806,0.1728394725075759
2024-07-17,139.26,141.79,138.6801,140.48,9157003.0,0,0.0012245847772326,0.6761743038224267,0.3226010965307068
2024-07-18,138.03,140.06,137.202,139.36,5998726.0,1,0.0004974924215055,0.9278113441541792,0.0716911753015665
2024-07-19,138.56,140.44,138.08,138.35,6111941.0,1,0.1641935337945056,0.6766482439112225,0.159158222930273
2024-07-22,140.17,140.68,139.12,139.74,5387176.0,1,0.0507924358316055,0.6630503002639141,0.2861572365363826
2024-07-23,143.11,143.22,141.21,141.3,6697410.0,0,2.836723269936669e-05,0.899590026398073,0.1003815951321939
2024-07-24,138.77,142.66,138.4,141.7,8018807.0,0,0.0001038647849099,0.9916714757680892,0.008224648624673
2024-07-25,137.82,141.07,137.7,140.15,7654625.0,1,0.0385446851203104,0.6515638186525017,0.3098915087702265
2024-07-26,139.01,139.96,138.38,138.87,5139377.0,0,0.0019783759594983,0.7041584935479345,0.2938631391222467
2024-07-29,138.31,139.78,137.825,139.27,4054647.0,0,0.0002451478212407,0.90441471375525,0.0953401206454145
2024-07-30,135.67,139.565,134.96,139.07,6505701.0,1,0.0003487593853132,0.7738276815022498,0.2258235665419002
2024-07-31,139.45,141.55,138.66,139.69,7188043.0,0,0.102394622956727,0.7873101072785045,0.1102952509560314
2024-08-01,137.51,140.39,135.77,139.29,5906808.0,0,0.0476956783890539,0.9056814883242954,0.0466228343373048
2024-08-02,133.28,134.3,131.8,132.77,8251585.0,0,0.1090286100190496,0.4145351860159735,0.4764362143207108
2024-08-05,127.86,129.97,126.6639,127.89,10354987.0,1,0.1471345895663245,0.6004414468744861,0.2524239171044817
2024-08-06,128.21,131.0375,128.08,130.54,8373891.0,0,0.3292806276121105,0.5341474115590245,0.1365719632690797
2024-08-07,125.9,130.3,125.75,128.92,8617652.0,1,0.0034187640731791,0.8537893398375066,0.1427918994343296
2024-08-08,128.96,129.82,127.65,128.0,6243219.0,1,0.0493161211077084,0.833281030630072,0.1174028521806273
2024-08-09,132.06,132.37,128.34,128.4,5597278.0,1,0.1615987402763347,0.837316956371069,0.0010842868826633
