Date,Close,High,Low,Open,Volume,Target,Negative,Neutral,Positive
2024-06-03,63.46,63.52,62.58,63.04,9039816.0,0,0.0239203251325328,0.5631101480903453,0.412969530641476
2024-06-04,63.33,64.13,63.03,63.14,9046058.0,1,0.0021305762626129,0.7642842746572569,0.233585139886145
2024-06-05,63.53,63.81,62.85,63.76,8846106.0,1,0.0023645030305159,0.987817883491516,0.0098176066883676
2024-06-06,67.02,67.82,64.17,64.285,22068792.0,1,0.0044601595255201,0.7445803843416797,0.2509594405677717
2024-06-07,67.3,68.2985,66.2,66.5,13194960.0,0,0.0006357972075931,0.4864060279214754,0.5129582062340887
2024-06-10,67.09,67.49,65.8,66.97,11978817.0,0,0.0040447842035639,0.7704096869872019,0.2255455446239659
2024-06-11,64.77,67.15,64.405,67.13,15108667.0,0,0.0062346310283146,0.7428457820726382,0.2509195789018071
2024-06-12,63.43,65.86,62.9,65.46,14137513.0,0,0.1392269683629227,0.5972563731234253,0.2635166587717828
2024-06-13,61.54,63.625,61.52,63.12,11985383.0,0,0.0001821375746047,0.5414052216812072,0.4584126486634734
2024-06-14,60.635,61.64,60.31,61.29,10366037.0,0,0.0008388780504041,0.8380558834414842,0.1611052209453873
2024-06-17,60.13,60.64,59.4805,60.37,13558487.0,0,0.0005940932062268,0.3333575922200775,0.6660483234054482
2024-06-18,59.12,60.11,59.03,59.92,13500311.0,1,0.000118336369476,0.7484266353387089,0.2514550292643044
2024-06-20,59.8,60.0,58.79,59.25,12928493.0,1,0.0556852682853758,0.922550959632944,0.0217637735138609
2024-06-21,60.61,60.76,59.67,59.92,18888289.0,0,0.0419787598056278,0.7178048166652122,0.2402164237757157
2024-06-24,59.49,60.56,59.46,60.0,10464729.0,0,0.2031795915139923,0.5938001242880849,0.2030202682314457
2024-06-25,59.33,59.57,58.97,59.57,9359170.0,0,7.337496635394491e-05,0.8513420599119854,0.1485845683832281
2024-06-26,58.26,59.75,58.03,59.74,12599367.0,1,0.0858483985793683,0.6833640678444334,0.2307875420382071
2024-06-27,58.37,58.49,57.21,58.48,11648923.0,0,0.3553537580109243,0.324834684016101,0.3198115338130567
2024-06-28,58.03,58.76,57.9,58.32,28102011.0,0,0.0229630417221995,0.5737570198366294,0.4032799718746294
2024-07-01,57.81,58.365,57.03,58.36,12237467.0,1,0.0007649927951831,0.850323460996151,0.1489114998994409
2024-07-02,58.97,59.27,58.32,58.78,13231566.0,1,0.0040768087604604,0.4038641759141228,0.5920590101772177
2024-07-03,59.64,60.01,58.895,59.03,6908317.0,1,6.563955311332711e-05,0.8874231353402138,0.1125112304821413
2024-07-05,59.76,60.16,58.83,59.38,12243845.0,0,0.0177819663114254,0.7633999196959199,0.2188181176304299
2024-07-08,59.09,60.0299,58.63,59.72,10320364.0,0,0.004054854669448,0.1321703807402059,0.8637747764587402
2024-07-09,59.0,59.7,58.42,58.9,8477370.0,0,0.0202478054989967,0.8251764308395764,0.1545757814514217
2024-07-10,58.9,59.31,58.2,59.09,7697110.0,1,0.2510557549758231,0.2971042220697199,0.4518400419892714
2024-07-11,59.99,60.93,59.43,59.55,13081969.0,1,0.104272449456013,0.6727085954318994,0.2230189362952993
